timestamp,project_name,total_tokens,ocl_retry_count,self_test_pass_rate,avg_cc,avg_mi,chromadb_hits
2026-06-01 12:33:58,ArXiv_digest,28904,1,60.0,1.0,100.0,0
2026-06-01 12:36:26,Hybrid_Images,43466,3,33.33,1.0,100.0,0
2026-06-01 12:38:12,TextCNN,31638,2,100.0,1.0,100.0,0
2026-06-01 12:40:08,chakin,20461,0,0.0,1.6,92.08,0
2026-06-01 12:42:10,geotext,27708,1,83.33,1.0,100.0,0
2026-06-01 12:44:15,hone,47829,2,25.0,1.5,100.0,0
2026-06-01 12:46:19,lice,34022,1,100.0,1.4,100.0,2
2026-06-01 12:48:22,particle-swarm-optimization,26178,3,83.33,1.67,98.69,0
2026-06-01 12:50:26,readtime,34950,3,30.0,1.0,95.5,0
2026-06-01 12:52:36,stocktrends,39345,3,0.0,1.0,100.0,0
